Fase,Escenario,Dim_Malla,Buffer_Iny,Buffer_Red,Muestras,Spikes_Gen,Flits_Gen,Flits_Iny,Flits_Eyect,Flits_Proc,Lat_Total,Lat_RAM,Lat_Buf,Lat_Red,Jitter,Throughput,Energia_uJ,Eficiencia,Perf_Absoluto,Precision_IA,Tiempo_Test_s
5_Asimetria,Stress_Inj4096_Net16,4,4096,16,2,12319,246604,246604,246604,801446,3053.69,107.33,2867.40,78.96,4319.27,0.029579,42.366189,5820.77,Físico:7099078,81.25,12
5_Asimetria,Stress_Inj16_Net4096,4,16,4096,2,12319,246604,246604,246604,801446,1516.62,787.15,27.76,701.71,2480.95,0.029581,42.364269,5821.04,Físico:7099405,81.25,10
5_Asimetria,Stress_Inj256_Net32,4,256,32,2,12319,246604,246604,246604,801446,2920.24,1758.16,1014.40,147.68,4244.57,0.029581,42.364269,5821.04,Físico:7099405,81.25,11
5_Asimetria,Stress_Inj32_Net256,4,32,256,2,12319,246604,246604,246604,801446,1912.05,1254.93,84.57,572.54,3261.76,0.029581,42.364349,5821.03,Físico:7099392,81.25,12
