Fase,Escenario,Dim_Malla,Buffer_Iny,Buffer_Red,Muestras,Spikes_Gen,Flits_Gen,Flits_Iny,Flits_Eyect,Flits_Proc,Lat_Total,Lat_RAM,Lat_Buf,Lat_Red,Jitter,Throughput,Energia_uJ,Eficiencia,Perf_Absoluto,Precision_IA,Tiempo_Test_s
6_Perfil_IA,Iters_5,4,1024,1024,2,10825,216352,216352,216352,703092,928.57,105.61,524.28,298.68,1117.56,0.000388,35.450011,6103.02,Físico:7449201,12.50,8
6_Perfil_IA,Iters_20,4,1024,1024,2,12319,246604,246604,246604,801446,1136.78,171.68,609.00,356.10,1347.56,0.000442,35.533602,6940.02,Físico:8490808,81.25,10
6_Perfil_IA,Iters_50,4,1024,1024,2,14079,287810,287810,287810,935341,1493.67,298.65,742.07,452.95,1693.63,0.000515,35.695175,8062.99,Físico:9896008,93.75,14
