Fase,Escenario,Dim_Malla,Buffer_Iny,Buffer_Red,Muestras,Spikes_Gen,Flits_Gen,Flits_Iny,Flits_Eyect,Flits_Proc,Lat_Total,Lat_RAM,Lat_Buf,Lat_Red,Jitter,Throughput,Energia_uJ,Eficiencia,Perf_Absoluto,Precision_IA,Tiempo_Test_s
1_Regresion,Determinismo_1,4,4096,4096,1,6331,127238,127238,127238,413477,1210.32,112.89,722.04,375.39,1433.06,0.000471,17.252178,7375.18,Físico:9034264,81.25,10
1_Regresion,Determinismo_2,4,4096,4096,1,6331,127238,127238,127238,413477,1210.32,112.89,722.04,375.39,1433.06,0.000471,17.252178,7375.18,Físico:9034264,81.25,7
1_Regresion,Determinismo_3,4,4096,4096,1,6331,127238,127238,127238,413477,1210.32,112.89,722.04,375.39,1433.06,0.000471,17.252178,7375.18,Físico:9034264,81.25,8
