Fase,Escenario,Dim_Malla,Buffer_Iny,Buffer_Red,Muestras,Spikes_Gen,Flits_Gen,Flits_Iny,Flits_Eyect,Flits_Proc,Lat_Total,Lat_RAM,Lat_Buf,Lat_Red,Jitter,Throughput,Energia_uJ,Eficiencia,Perf_Absoluto,Precision_IA,Tiempo_Test_s
2_Congestion,Stress_Buf_1024,4,1024,1024,2,12319,246604,246604,246604,801446,1545.71,169.54,685.02,691.15,2552.94,0.029581,42.364269,5821.04,Físico:7099405,81.25,10
2_Congestion,Stress_Buf_256,4,256,256,2,12319,246604,246604,246604,801446,1912.05,816.26,523.24,572.54,3261.76,0.029581,42.364349,5821.03,Físico:7099392,81.25,11
2_Congestion,Stress_Buf_64,4,64,64,2,12319,246604,246604,246604,801446,2693.12,2166.17,263.54,263.41,4093.94,0.029581,42.364269,5821.04,Físico:7099405,81.25,11
2_Congestion,Stress_Buf_16,4,16,16,2,12319,246604,246604,246604,801446,3053.69,2895.31,79.42,78.96,4319.27,0.029579,42.366189,5820.77,Físico:7099078,81.25,12
