timestamp,source,destination,packet_size,packet_type
0,8,15,1,snn2
0,8,15,1,snn2
0,8,15,1,snn2
0,10,15,1,snn2
0,10,15,1,snn2
0,10,15,1,snn2
0,10,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,12,15,1,snn2
0,12,15,1,snn2
0,12,15,1,snn2
0,13,15,1,snn2
0,13,15,1,snn2
0,13,15,1,snn2
0,8,15,1,snn2
0,8,15,1,snn2
0,8,15,1,snn2
0,8,15,1,snn2
0,8,15,1,snn2
0,8,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,10,15,1,snn2
0,10,15,1,snn2
0,10,15,1,snn2
0,10,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,12,15,1,snn2
0,12,15,1,snn2
0,13,15,1,snn2
0,13,15,1,snn2
0,13,15,1,snn2
0,13,15,1,snn2
0,13,15,1,snn2
0,13,15,1,snn2
0,14,15,1,snn2
0,14,15,1,snn2
0,14,15,1,snn2
0,8,15,1,snn2
0,8,15,1,snn2
0,8,15,1,snn2
0,8,15,1,snn2
0,8,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,10,15,1,snn2
0,10,15,1,snn2
0,10,15,1,snn2
0,10,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,12,15,1,snn2
0,12,15,1,snn2
0,12,15,1,snn2
0,12,15,1,snn2
0,13,15,1,snn2
0,13,15,1,snn2
0,13,15,1,snn2
0,14,15,1,snn2
0,14,15,1,snn2
0,14,15,1,snn2
0,14,15,1,snn2
0,14,15,1,snn2
0,14,15,1,snn2
0,8,15,1,snn2
0,8,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,9,15,1,snn2
0,10,15,1,snn2
0,10,15,1,snn2
0,10,15,1,snn2
0,10,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,12,15,1,snn2
0,13,15,1,snn2
0,13,15,1,snn2
0,13,15,1,snn2
0,13,15,1,snn2
0,13,15,1,snn2
0,13,15,1,snn2
0,14,15,1,snn2
0,14,15,1,snn2
0,14,15,1,snn2
0,14,15,1,snn2
0,14,15,1,snn2
0,8,15,1,snn2
0,10,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
0,11,15,1,snn2
1,0,2,1,input
1,0,3,1,input
1,0,4,1,input
1,0,5,1,input
1,0,6,1,input
1,0,7,1,input
1,2,8,1,snn1
1,2,9,1,snn1
1,2,10,1,snn1
1,2,11,1,snn1
1,2,12,1,snn1
1,2,13,1,snn1
1,2,14,1,snn1
1,2,8,1,snn1
1,2,9,1,snn1
1,2,10,1,snn1
1,2,11,1,snn1
1,2,12,1,snn1
1,2,13,1,snn1
1,2,14,1,snn1
